RedFighter,BlueFighter,RedOdds,BlueOdds,Date,Location,Winner,WeightClass,Gender,NumberOfRounds,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWins,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWins,RedAge,BlueAge
Alexandre Pantoja,Kai Asakura,-250,215,12/7/24,"Las Vegas, Nevada, USA",Red,Flyweight,MALE,5,0,0,0,0,3,42,3,12,34,31
Jon Jones,Stipe Miocic,-550,410,11/16/24,"New York City, New York, USA",Red,Heavyweight,MALE,5,4,46,8,14,1,74,16,21,37,42
Ilia Topuria,Max Holloway,-305,245,10/26/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Featherweight,MALE,5,7,98,9,22,0,16,1,7,27,32
Alex Pereira,Khalil Rountree Jr.,-425,330,10/5/24,"Salt Lake City, Utah, USA",Red,Light Heavyweight,MALE,5,5,29,1,9,1,21,5,8,37,34
Raquel Pennington,Julianna Pena,-155,130,10/5/24,"Salt Lake City, Utah, USA",Blue,Women's Bantamweight,FEMALE,5,3,26,3,7,5,54,2,13,36,35
Sean O'Malley,Merab Dvalishvili,100,-120,9/14/24,"Las Vegas, Nevada, USA",Blue,Bantamweight,MALE,5,2,37,0,10,1,29,2,11,29,33
Alexa Grasso,Valentina Shevchenko,-130,110,9/14/24,"Las Vegas, Nevada, USA",Blue,Women's Flyweight,FEMALE,5,3,60,11,12,3,37,2,8,31,36
Dricus Du Plessis,Israel Adesanya,-120,100,8/17/24,"Perth, Western Australia, Australia",Red,Middleweight,MALE,5,3,60,11,13,0,18,1,7,30,35
Leon Edwards,Belal Muhammad,-270,200,7/27/24,"Manchester, England, United Kingdom",Blue,Welterweight,MALE,5,3,54,0,14,2,60,3,14,32,36
Tom Aspinall,Curtis Blaydes,-425,300,7/27/24,"Manchester, England, United Kingdom",Red,Heavyweight,MALE,5,4,41,0,13,1,9,1,7,31,33
Alex Pereira,Jiri Prochazka,-145,114,6/29/24,"Las Vegas, Nevada, USA",Red,Light Heavyweight,MALE,5,1,13,2,4,1,19,5,7,36,31
Islam Makhachev,Dustin Poirier,,,6/1/24,"Newark, New Jersey, USA",Red,Lightweight,MALE,5,8,75,3,23,1,34,3,14,32,35
Alexandre Pantoja,Steve Erceg,-180,150,5/4/24,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Flyweight,MALE,5,0,8,0,3,3,37,2,11,34,28
Alex Pereira,Jamahal Hill,-130,110,4/13/24,"Las Vegas, Nevada, USA",Red,Light Heavyweight,MALE,5,1,20,1,7,1,18,4,6,36,32
Zhang Weili,Yan Xiaonan,-455,350,4/13/24,"Las Vegas, Nevada, USA",Red,Women's Strawweight,FEMALE,5,2,29,0,8,2,28,6,8,34,34
Sean O'Malley,Marlon Vera,-290,235,3/9/24,"Miami, Florida, USA",Red,Bantamweight,MALE,5,7,61,0,15,1,24,1,10,29,31
