RedFighter,BlueFighter,RedOdds,BlueOdds,Winner,RedStrikingAcc,RedTakedownDef,RedHeight,RedReach,RedStance,BlueStrikingAcc,BlueTakedownDef,BlueHeight,BlueReach,BlueStance
Alexandre Pantoja,Kai Asakura,-250,215,Red,50%,68%,"65"" ","67""",Orthodox,58%,57%,"68"" ","69""",Orthodox
Jon Jones,Stipe Miocic,-550,410,Red,58%,95%,"76"" ","84""",Orthodox,52%,65%,"76"" ","80""",Orthodox
Ilia Topuria,Max Holloway,-305,245,Red,47%,92%,"67"" ","69""",Orthodox,47%,83%,"71"" ","69""",Orthodox
Alex Pereira,Khalil Rountree Jr.,-425,330,Red,62%,78%,"76"" ","79""",Orthodox,38%,58%,"73"" ","76""",Southpaw
Raquel Pennington,Julianna Pena,-155,130,Blue,49%,62%,"67"" ","67""",Orthodox,44%,23%,"66"" ","69""",Orthodox
Sean O'Malley,Merab Dvalishvili,100,-120,Blue,61%,61%,"71"" ","72""",Switch,42%,82%,"66"" ","68""",Orthodox
Alexa Grasso,Valentina Shevchenko,-130,110,Blue,41%,54%,"65"" ","66""",Orthodox,52%,71%,"65"" ","66""",Southpaw
Dricus Du Plessis,Israel Adesanya,-120,100,Red,48%,50%,"73"" ","76""",Switch,48%,76%,"76"" ","80""",Switch
Leon Edwards,Belal Muhammad,-270,200,Blue,54%,63%,"74"" ","74""",Southpaw,43%,89%,"71"" ","72""",Orthodox
Tom Aspinall,Curtis Blaydes,-425,300,Red,67%,100%,"77"" ","78""",Orthodox,50%,31%,"76"" ","80""",Orthodox
Alex Pereira,Jiri Prochazka,-145,114,Red,62%,78%,"76"" ","79""",Orthodox,55%,68%,"75"" ","80""",Orthodox
Islam Makhachev,Dustin Poirier,,,Red,58%,90%,"70"" ","70""",Southpaw,50%,64%,"69"" ","72""",Southpaw
Alexandre Pantoja,Steve Erceg,-180,150,Red,50%,68%,"65"" ","67""",Orthodox,46%,63%,"68"" ","68""",Orthodox
Alex Pereira,Jamahal Hill,-130,110,Red,62%,78%,"76"" ","79""",Orthodox,53%,73%,"76"" ","79""",Southpaw
Zhang Weili,Yan Xiaonan,-455,350,Red,53%,74%,"64"" ","63""",Switch,45%,63%,"65"" ","63""",Orthodox
Sean O'Malley,Marlon Vera,-290,235,Red,61%,61%,"71"" ","72""",Switch,49%,72%,"68"" ","70""",Switch
Alexander Volkanovski,Ilia Topuria,-142,120,Blue,56%,70%,"66"" ","71""",Orthodox,47%,92%,"67"" ","69""",Orthodox
Sean Strickland,Dricus Du Plessis,-108,-112,Blue,42%,76%,"73"" ","76""",Orthodox,48%,50%,"73"" ","76""",Switch
Raquel Pennington,Mayra Bueno Silva,142,-170,Red,49%,62%,"67"" ","67""",Orthodox,58%,63%,"66"" ","66""",Orthodox
Leon Edwards,Colby Covington,,,Red,54%,63%,"74"" ","74""",Southpaw,38%,68%,"71"" ","72""",Orthodox
Alexandre Pantoja,Brandon Royval,,,Red,50%,68%,"65"" ","67""",Orthodox,39%,45%,"69"" ","68""",Southpaw
Jiri Prochazka,Alex Pereira,-105,-125,Blue,55%,68%,"75"" ","80""",Orthodox,62%,78%,"76"" ","79""",Orthodox
Sergei Pavlovich,Tom Aspinall,110,-130,Blue,43%,75%,"75"" ","84""",Southpaw,67%,100%,"77"" ","78""",Orthodox
Islam Makhachev,Alexander Volkanovski,-350,220,Red,58%,90%,"70"" ","70""",Southpaw,56%,70%,"66"" ","71""",Orthodox
Israel Adesanya,Sean Strickland,-550,410,Blue,48%,76%,"76"" ","80""",Switch,42%,76%,"73"" ","76""",Orthodox
Aljamain Sterling,Sean O'Malley,-258,210,Blue,52%,42%,"67"" ","71""",Orthodox,61%,61%,"71"" ","72""",Switch
Zhang Weili,Amanda Lemos,-310,250,Red,53%,74%,"64"" ","63""",Switch,54%,59%,"64"" ","65""",Southpaw
Alexander Volkanovski,Yair Rodriguez,,,Red,56%,70%,"66"" ","71""",Orthodox,46%,58%,"71"" ","71""",Orthodox
Brandon Moreno,Alexandre Pantoja,,,Blue,44%,64%,"67"" ","70""",Orthodox,50%,68%,"65"" ","67""",Orthodox
Amanda Nunes,Irene Aldana,-335,270,Red,51%,82%,"68"" ","69""",Orthodox,39%,77%,"69"" ","68""",Orthodox
Aljamain Sterling,Henry Cejudo,-120,100,Red,52%,42%,"67"" ","71""",Orthodox,47%,76%,"64"" ","64""",Orthodox
Alex Pereira,Israel Adesanya,,,Blue,62%,78%,"76"" ","79""",Orthodox,48%,76%,"76"" ","80""",Switch
Leon Edwards,Kamaru Usman,205,-245,Red,54%,63%,"74"" ","74""",Southpaw,52%,89%,"72"" ","76""",Switch
Jon Jones,Ciryl Gane,-155,135,Red,58%,95%,"76"" ","84""",Orthodox,61%,43%,"76"" ","81""",Orthodox
Valentina Shevchenko,Alexa Grasso,-600,450,Blue,52%,71%,"65"" ","66""",Southpaw,41%,54%,"65"" ","66""",Orthodox
Islam Makhachev,Alexander Volkanovski,-365,300,Red,58%,90%,"70"" ","70""",Southpaw,56%,70%,"66"" ","71""",Orthodox
Yair Rodriguez,Josh Emmett,-180,155,Red,46%,58%,"71"" ","71""",Orthodox,35%,46%,"66"" ","70""",Orthodox
Jeka Saragih,Anshul Jubli,-155,135,Blue,50%,66%,"68"" ","69""",Orthodox,46%,63%,"72"" ","69""",Switch
JeongYeong Lee,Yizha,-215,185,Red,52%,76%,"70"" ","73""",Orthodox,44%,54%,"67"" ","71""",Orthodox
Toshiomi Kazama,Rinya Nakamura,450,-600,Blue,53%,66%,"67"" ","69""",Orthodox,51%,100%,"67"" ","68""",Southpaw
SeungGuk Choi,HyunSung Park,185,-215,Blue,42%,74%,"66"" ","64""",Orthodox,44%,100%,"67"" ","66""",Orthodox
Glover Teixeira,Jamahal Hill,125,-145,Blue,49%,60%,"74"" ","76""",Orthodox,53%,73%,"76"" ","79""",Southpaw
Deiveson Figueiredo,Brandon Moreno,,,Blue,54%,60%,"65"" ","68""",Orthodox,44%,64%,"67"" ","70""",Orthodox
Israel Adesanya,Alex Pereira,-210,180,Blue,48%,76%,"76"" ","80""",Switch,62%,78%,"76"" ","79""",Orthodox
Carla Esparza,Zhang Weili,,,Blue,39%,47%,"61"" ","63""",Orthodox,53%,74%,"64"" ","63""",Switch
Charles Oliveira,Islam Makhachev,175,-205,Blue,55%,56%,"70"" ","74""",Orthodox,58%,90%,"70"" ","70""",Southpaw
Aljamain Sterling,TJ Dillashaw,-180,155,Red,52%,42%,"67"" ","71""",Orthodox,41%,77%,"66"" ","67""",Orthodox
Kamaru Usman,Leon Edwards,-315,260,Blue,52%,89%,"72"" ","76""",Switch,54%,63%,"74"" ","74""",Southpaw
Julianna Pena,Amanda Nunes,205,-245,Blue,44%,23%,"66"" ","69""",Orthodox,51%,82%,"68"" ","69""",Orthodox
Brandon Moreno,Kai Kara-France,-210,180,Red,44%,64%,"67"" ","70""",Orthodox,39%,88%,"64"" ","69""",Orthodox
Israel Adesanya,Jared Cannonier,-540,420,Red,48%,76%,"76"" ","80""",Switch,50%,64%,"71"" ","77""",Switch
Alexander Volkanovski,Max Holloway,-180,155,Red,56%,70%,"66"" ","71""",Orthodox,47%,83%,"71"" ","69""",Orthodox
Glover Teixeira,Jiri Prochazka,185,-225,Blue,49%,60%,"74"" ","76""",Orthodox,55%,68%,"75"" ","80""",Orthodox
Valentina Shevchenko,Taila Santos,-630,450,Red,52%,71%,"65"" ","66""",Southpaw,48%,86%,"66"" ","68""",Orthodox
Rose Namajunas,Carla Esparza,-235,190,Blue,42%,61%,"65"" ","65""",Orthodox,39%,47%,"61"" ","63""",Orthodox
Alexander Volkanovski,Chan Sung Jung,-600,435,Red,56%,70%,"66"" ","71""",Orthodox,41%,72%,"67"" ","72""",Orthodox
Aljamain Sterling,Petr Yan,310,-410,Red,52%,42%,"67"" ","71""",Orthodox,54%,84%,"67"" ","67""",Switch
Israel Adesanya,Robert Whittaker,-310,245,Red,48%,76%,"76"" ","80""",Switch,43%,81%,"72"" ","73""",Orthodox
Francis Ngannou,Ciryl Gane,135,-160,Red,41%,71%,"76"" ","83""",Orthodox,61%,43%,"76"" ","81""",Orthodox
Brandon Moreno,Deiveson Figueiredo,-195,165,Blue,44%,64%,"67"" ","70""",Orthodox,54%,60%,"65"" ","68""",Orthodox
Charles Oliveira,Dustin Poirier,110,-130,Red,55%,56%,"70"" ","74""",Orthodox,50%,64%,"69"" ","72""",Southpaw
Amanda Nunes,Julianna Pena,-1125,700,Blue,51%,82%,"68"" ","69""",Orthodox,44%,23%,"66"" ","69""",Orthodox
Kamaru Usman,Colby Covington,-320,250,Red,52%,89%,"72"" ","76""",Switch,38%,68%,"71"" ","72""",Orthodox
Rose Namajunas,Zhang Weili,100,-120,Red,42%,61%,"65"" ","65""",Orthodox,53%,74%,"64"" ","63""",Switch
Jan Blachowicz,Glover Teixeira,-265,215,Blue,49%,69%,"74"" ","78""",Orthodox,49%,60%,"74"" ","76""",Orthodox
Petr Yan,Cory Sandhagen,-305,240,Red,54%,84%,"67"" ","67""",Switch,44%,63%,"71"" ","70""",Switch
Alexander Volkanovski,Brian Ortega,-180,155,Red,56%,70%,"66"" ","71""",Orthodox,37%,55%,"68"" ","69""",Switch
Valentina Shevchenko,Lauren Murphy,-1375,800,Red,52%,71%,"65"" ","66""",Southpaw,39%,69%,"65"" ","67""",Orthodox
Derrick Lewis,Ciryl Gane,250,-320,Blue,50%,52%,"75"" ","79""",Orthodox,61%,43%,"76"" ","81""",Orthodox
Israel Adesanya,Marvin Vettori,-235,185,Red,48%,76%,"76"" ","80""",Switch,46%,69%,"72"" ","74""",Southpaw
Deiveson Figueiredo,Brandon Moreno,-195,150,Blue,54%,60%,"65"" ","68""",Orthodox,44%,64%,"67"" ","70""",Orthodox
Charles Oliveira,Michael Chandler,-130,110,Red,55%,56%,"70"" ","74""",Orthodox,50%,63%,"68"" ","71""",Orthodox
Kamaru Usman,Jorge Masvidal,-320,260,Red,52%,89%,"72"" ","76""",Switch,47%,72%,"71"" ","74""",Orthodox
Zhang Weili,Rose Namajunas,-200,170,Blue,53%,74%,"64"" ","63""",Switch,42%,61%,"65"" ","65""",Orthodox
Valentina Shevchenko,Jessica Andrade,-450,360,Red,52%,71%,"65"" ","66""",Southpaw,50%,72%,"61"" ","62""",Orthodox
Stipe Miocic,Francis Ngannou,117,-137,Blue,52%,65%,"76"" ","80""",Orthodox,41%,71%,"76"" ","83""",Orthodox
Jan Blachowicz,Israel Adesanya,205,-245,Red,49%,69%,"74"" ","78""",Orthodox,48%,76%,"76"" ","80""",Switch
Amanda Nunes,Megan Anderson,-700,500,Red,51%,82%,"68"" ","69""",Orthodox,46%,53%,"72"" ","72""",Orthodox
Petr Yan,Aljamain Sterling,-122,102,Blue,54%,84%,"67"" ","67""",Switch,52%,42%,"67"" ","71""",Orthodox
Kamaru Usman,Gilbert Burns,-278,228,Red,52%,89%,"72"" ","76""",Switch,48%,53%,"70"" ","71""",Orthodox
Khabib Nurmagomedov,Justin Gaethje,-315,255,Red,48%,84%,"70"" ","70""",Orthodox,58%,68%,"71"" ","70""",Orthodox
Israel Adesanya,Paulo Costa,-186,151,Red,48%,76%,"76"" ","80""",Switch,58%,80%,"73"" ","72""",Orthodox
Dominick Reyes,Jan Blachowicz,-265,215,Blue,54%,82%,"76"" ","77""",Southpaw,49%,69%,"74"" ","78""",Orthodox
Stipe Miocic,Daniel Cormier,-106,-112,Red,52%,65%,"76"" ","80""",Orthodox,52%,80%,"71"" ","72""",Orthodox
Deiveson Figueiredo,Joseph Benavidez,-225,180,Red,54%,60%,"65"" ","68""",Orthodox,34%,62%,"64"" ","65""",Southpaw
Kamaru Usman,Jorge Masvidal,-240,190,Red,52%,89%,"72"" ","76""",Switch,47%,72%,"71"" ","74""",Orthodox
Alexander Volkanovski,Max Holloway,-210,170,Red,56%,70%,"66"" ","71""",Orthodox,47%,83%,"71"" ","69""",Orthodox
Petr Yan,Jose Aldo,-215,175,Red,54%,84%,"67"" ","67""",Switch,46%,92%,"67"" ","70""",Orthodox
Amanda Nunes,Felicia Spencer,-600,450,Red,51%,82%,"68"" ","69""",Orthodox,48%,27%,"66"" ","68""",Orthodox
Tony Ferguson,Justin Gaethje,-180,158,Blue,45%,66%,"71"" ","76""",Orthodox,58%,68%,"71"" ","70""",Orthodox
Henry Cejudo,Dominick Cruz,-225,185,Red,47%,76%,"64"" ","64""",Orthodox,33%,83%,"68"" ","68""",Orthodox
Israel Adesanya,Yoel Romero,-260,240,Red,48%,76%,"76"" ","80""",Switch,49%,78%,"72"" ","73""",Southpaw
Zhang Weili,Joanna Jedrzejczyk,-185,170,Red,53%,74%,"64"" ","63""",Switch,48%,80%,"66"" ","65""",Orthodox
Joseph Benavidez,Deiveson Figueiredo,-150,130,Blue,34%,62%,"64"" ","65""",Southpaw,54%,60%,"65"" ","68""",Orthodox
Jon Jones,Dominick Reyes,-460,365,Red,58%,95%,"76"" ","84""",Orthodox,54%,82%,"76"" ","77""",Southpaw
Valentina Shevchenko,Katlyn Chookagian,-920,610,Red,52%,71%,"65"" ","66""",Southpaw,34%,50%,"69"" ","68""",Orthodox
Kamaru Usman,Colby Covington,-190,165,Red,52%,89%,"72"" ","76""",Switch,38%,68%,"71"" ","72""",Orthodox
Max Holloway,Alexander Volkanovski,-200,170,Blue,47%,83%,"71"" ","69""",Orthodox,56%,70%,"66"" ","71""",Orthodox
Amanda Nunes,Germaine de Randamie,-460,365,Red,51%,82%,"68"" ","69""",Orthodox,46%,65%,"69"" ","71""",Orthodox
Robert Whittaker,Israel Adesanya,110,-130,Blue,43%,81%,"72"" ","73""",Orthodox,48%,76%,"76"" ","80""",Switch
Khabib Nurmagomedov,Dustin Poirier,-400,325,Red,48%,84%,"70"" ","70""",Orthodox,50%,64%,"69"" ","72""",Southpaw
Jessica Andrade,Zhang Weili,-200,170,Blue,50%,72%,"61"" ","62""",Orthodox,53%,74%,"64"" ","63""",Switch
Daniel Cormier,Stipe Miocic,-145,125,Blue,52%,80%,"71"" ","72""",Orthodox,52%,65%,"76"" ","80""",Orthodox
Valentina Shevchenko,Liz Carmouche,-1100,700,Red,52%,71%,"65"" ","66""",Southpaw,54%,65%,"66"" ","66""",Orthodox
Max Holloway,Frankie Edgar,-335,275,Red,47%,83%,"71"" ","69""",Orthodox,40%,65%,"66"" ","68""",Orthodox
Jon Jones,Thiago Santos,-670,485,Red,58%,95%,"76"" ","84""",Orthodox,48%,65%,"74"" ","76""",Orthodox
Amanda Nunes,Holly Holm,-360,300,Red,51%,82%,"68"" ","69""",Orthodox,40%,76%,"68"" ","69""",Southpaw
Henry Cejudo,Marlon Moraes,145,-165,Red,47%,76%,"64"" ","64""",Orthodox,40%,46%,"66"" ","67""",Orthodox
Valentina Shevchenko,Jessica Eye,-1100,700,Red,52%,71%,"65"" ","66""",Southpaw,37%,57%,"66"" ","66""",Orthodox
Rose Namajunas,Jessica Andrade,120,-140,Blue,42%,61%,"65"" ","65""",Orthodox,50%,72%,"61"" ","62""",Orthodox
Max Holloway,Dustin Poirier,-220,180,Blue,47%,83%,"71"" ","69""",Orthodox,50%,64%,"69"" ","72""",Southpaw
Kelvin Gastelum,Israel Adesanya,150,-170,Blue,42%,59%,"69"" ","71""",Southpaw,48%,76%,"76"" ","80""",Switch
